"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","957192","Tien-Tsin  Wong and Siu-Hang  Or and Chi-Wing  Fu","","","","Real-time Relighting of Compressed Panoramas","375--388","","14","","","","","","","","","","","Graphics Programming Methods","","","1-58450-299-1","","Charles River Media, Inc.","Rockland, MA, USA"
"article","1378055","T. H. Song and J. H. Park and S. M. Chung and S. H. Hong and K. H. Kwon and S.  Lee and J. W. Jeon","","","","A Study on Usability of Human-robot Interaction Using a Mobile Computer and a Human Interface Device","462--466","","5","human-robot interaction, mobile computer, ubiquitous","10.1145/1377999.1378055","","","","","","","2007","","Proceedings of the 9th International Conference on Human Computer Interaction with Mobile Devices and Services","MobileHCI '07","","978-1-59593-862-6","Singapore","ACM","New York, NY, USA"
"book","2795155","Anis  Koubaa and J.Ramiro Martnez-de Dios","","","","","","","","","","","","","","","","2015","","Cooperative Robots and Sensor Networks 2015","","","3319182986, 9783319182988","","Springer Publishing Company, Incorporated",""
"article","2692160","Yago  D&#237;ez and Ferran  Roure and Xavier  Llad&#243; and Joaquim  Salvi","","","","A Qualitative Review on 3D Coarse Registration Methods","45:1--45:36","45","36","3D registration, coarse matching, computational geometry, point cloud matching, point descriptors, surface alignment","10.1145/2692160","ACM Comput. Surv.","April 2015","47","3","","February","2015","0360-0300","","","","","","ACM","New York, NY, USA"
"article","1856609","Philippe  Fauteux and Michel  Lauria and Beno&#238;t  Heintz and Fran&#231;ois  Michaud","","","","Dual-differential Rheological Actuator for High-performance Physical Robotic Interaction","607--618","","12","Actuators, actuators, force and interaction control, human&#x2013;robot interaction, human-robot interaction, low-impedance actuation, soft robotics","10.1109/TRO.2010.2052880","Trans. Rob.","August 2010","26","4","","August","2010","1552-3098","","","","","","IEEE Press","Piscataway, NJ, USA"
"article","1989517","Peter  Kling and Friedhelm  Meyer auf der Heide","","","","Convergence of Local Communication Chain Strategies via Linear Transformations: Or How to Trade Locality for Speed","159--166","","8","distributed algorithms, gathering, local algorithms, markov chains, mixing time, swarm robotics","10.1145/1989493.1989517","","","","","","","2011","","Proceedings of the Twenty-third Annual ACM Symposium on Parallelism in Algorithms and Architectures","SPAA '11","","978-1-4503-0743-7","San Jose, California, USA","ACM","New York, NY, USA"
"article","2503747","Bernhard  Spanlang and Xavi  Navarro and Jean-Marie  Normand and Sameer  Kishore and Rodrigo  Pizarro and Mel  Slater","","","","Real Time Whole Body Motion Mapping for Avatars and Robots","175--178","","4","avatars, motion capture, robots, virtual reality","10.1145/2503713.2503747","","","","","","","2013","","Proceedings of the 19th ACM Symposium on Virtual Reality Software and Technology","VRST '13","","978-1-4503-2379-6","Singapore","ACM","New York, NY, USA"
"phdthesis","239051","Sanjiv  Singh","","","","","","","","","","","","","","","","1995","","Synthesis of Tactical Plans for Robotic Excavation","","","","","Carnegie Mellon University","Pittsburgh, PA, USA"
"article","2754750","Josh C. Bongard and Anton  Bernatskiy and Ken  Livingston and Nicholas  Livingston and John  Long and Marc  Smith","","","","Evolving Robot Morphology Facilitates the Evolution of Neural Modularity and Evolvability","129--136","","8","artificial intelligence, evolutionary computation, evolvability, modularity, robotics","10.1145/2739480.2754750","","","","","","","2015","","Proceedings of the 2015 Annual Conference on Genetic and Evolutionary Computation","GECCO '15","","978-1-4503-3472-3","Madrid, Spain","ACM","New York, NY, USA"
"article","1112740","","","","","Small Robots Team Up to Tackle Large Tasks","2--","","","swarm robotics, nanoscale robots","10.1109/MDSO.2005.66","IEEE Distributed Systems Online","December 2005","6","12","","December","2005","1541-4922","","","","","","IEEE Educational Activities Department","Piscataway, NJ, USA"
"article","2592395","L.  Riazuelo and Javier  Civera and J. M. M. Montiel","","","","C2TAM: A Cloud Framework for Cooperative Tracking and Mapping","401--413","","13","Cloud Computing, Cloud Robotics, Cloud SLAM, SLAM, Visual SLAM","10.1016/j.robot.2013.11.007","Robot. Auton. Syst.","April, 2014","62","4","","April","2014","0921-8890","","","","","","North-Holland Publishing Co.","Amsterdam, The Netherlands, The Netherlands"
"article","2141631","Syed Atif Mehdi and Karsten  Berns","","","","Probabilistic Search of Human by Autonomous Mobile Robot","7:1--7:8","7","8","Markov decision process, assisted living robot, human search, indoor robot, mapping, mapping and navigation, navigation","10.1145/2141622.2141631","","","","","","","2011","","Proceedings of the 4th International Conference on PErvasive Technologies Related to Assistive Environments","PETRA '11","","978-1-4503-0772-7","Heraklion, Crete, Greece","ACM","New York, NY, USA"
"article","2402619","Richard  Bormann and Jan  Fischer and Georg  Arbeiter and Alexander  Verl","","","","Efficient Object Categorization with the Surface-approximation Polynomials Descriptor","34--53","","20","3D descriptor, object categorization, robot vision","10.1007/978-3-642-32732-2_3","","","","","","","2012","","Proceedings of the 2012 International Conference on Spatial Cognition VIII","SC'12","","978-3-642-32731-5","Kloster Seeon, Germany","Springer-Verlag","Berlin, Heidelberg"
"article","2879377","Jesus  Mart&#237;nez-G$#243;mez and Ismael  Garc&#237;a-Varea and Miguel  Cazorla and Vicente  Morell","","","","ViDRILO","1681--1687","","7","Semantic localization, recognition, robotic benchmarks, sensor fusion","10.1177/0278364915596058","Int. J. Rob. Res.","12 2015","34","14","","December","2015","0278-3649","","","","","","Sage Publications, Inc.","Thousand Oaks, CA, USA"
"article","2679172","Luca  Gherardi and Dominique  Hunziker and Gajamohan  Mohanarajah","","","","A Software Product Line Approach for Configuring Cloud Robotics Applications","745--752","","8","Robotics, Cloud Computing, Software Product Lines","10.1109/CLOUD.2014.104","","","","","","","2014","","Proceedings of the 2014 IEEE International Conference on Cloud Computing","CLOUD '14","","978-1-4799-5063-8","","IEEE Computer Society","Washington, DC, USA"
"article","2911632","Torsten  Andre and Christian  Bettstetter","","","","Collaboration in Multi-Robot Exploration: To Meet or Not to Meet?","325--337","","13","Autonomous systems, Collaboration, Indoor exploration, Mobile robot teams, Multi-robot systems, Robot exploration","10.1007/s10846-015-0277-0","J. Intell. Robotics Syst.","May       2016","82","2","","May","2016","0921-0296","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
"article","2550535","Vladimir  &#138;or and Plumbr  O&#252; and Tarvo  Treier and Satish Narayana Srirama","","","","Improving Statistical Approach for Memory Leak Detection Using Machine Learning","544--547","","4","","10.1109/ICSM.2013.92","","","","","","","2013","","Proceedings of the 2013 IEEE International Conference on Software Maintenance","ICSM '13","","978-0-7695-4981-1","","IEEE Computer Society","Washington, DC, USA"
"book","2584521","Yasmina Bestaoui Sebbane","","","","","","","","","","","","","","","","2014","","Planning and Decision Making for Aerial Robots","","","3319037064, 9783319037066","","Springer Publishing Company, Incorporated",""
"article","1135555","Hans  de Ruiter and Beno  Benhabib","","","","Colour-Gradient Redundancy for Real-time Spatial Pose Tracking in Autonomous Robot Navigation","20--","","","computer vision, object tracking, mobile-robot navigation","10.1109/CRV.2006.22","","","","","","","2006","","Proceedings of the The 3rd Canadian Conference on Computer and Robot Vision","CRV '06","","0-7695-2542-3","","IEEE Computer Society","Washington, DC, USA"
"technical report","870417","Jing  Shi and Changqing  Hu and and  Chi-Wang Shu","","","","","","","","","","","","","","","","2000","","A Technique of Treating Negative Weights in WENO Schemes","","","","","Institute for Computer Applications in Science and Engineering (ICASE)",""
"article","2002835","Or  Biran and Samuel  Brody and No&#233;mie  Elhadad","","","","Putting It Simply: A Context-aware Approach to Lexical Simplification","496--501","","6","","","","","","","","","2011","","Proceedings of the 49th Annual Meeting of the Association for Computational Linguistics: Human Language Technologies: Short Papers - Volume 2","HLT '11","","978-1-932432-88-6","Portland, Oregon","Association for Computational Linguistics","Stroudsburg, PA, USA"
"article","2963982","Jonas  Schmidtler and Asuman  Sezgin and Thomas  Illa and Klaus  Bengler","","","","Black or White? Influence of Robot Arm Contrast on Distraction in Human-Robot Interaction","188--199","","12","Acceptance, Distraction, Eye tracking, Human-Robot Interaction, Influencing factors, Robot appearance, Robot arm contrast, Well-being","10.1007/978-3-319-20373-7_18","","","","","","","2015","","Proceedings of the 12th International Conference on Engineering Psychology and Cognitive Ergonomics - Volume 9174","","","978-3-319-20372-0","","Springer-Verlag New York, Inc.","New York, NY, USA"
"article","2559785","Andreas  Kipp and Birte  Carlmeyer and Oliver  Damm","","","","Demonstration of Emotion Modeling Using Flobi","330--330","","1","human-robot interaction, robotics","10.1145/2559636.2559785","","","","","","","2014","","Proceedings of the 2014 ACM/IEEE International Conference on Human-robot Interaction","HRI '14","","978-1-4503-2658-2","Bielefeld, Germany","ACM","New York, NY, USA"
"article","1999070","Paulo  Blikstein and Arnan  Sipitakiat","","","","QWERTY and the Art of Designing Microcontrollers for Children","234--237","","4","education, interaction design, physical computing, robotics","10.1145/1999030.1999070","","","","","","","2011","","Proceedings of the 10th International Conference on Interaction Design and Children","IDC '11","","978-1-4503-0751-2","Ann Arbor, Michigan","ACM","New York, NY, USA"
"book","210139","H. R. Everett","","","","","","","","","","","","","","","","1995","","Sensors for Mobile Robots: Theory and Application","","","1-56881-048-2","","A. K. Peters, Ltd.","Natick, MA, USA"
"article","1322194","Norihiro  Hagita","","","","The Great Challenge of Multimodal Interfacestowards Symbiosis of Human and Robots","2--2","","1","communication robot, humanoid robot","10.1145/1322192.1322194","","","","","","","2007","","Proceedings of the 9th International Conference on Multimodal Interfaces","ICMI '07","","978-1-59593-817-6","Nagoya, Aichi, Japan","ACM","New York, NY, USA"
"article","2443567","Takahisa  Kakudou and Keigo  Watanabe and Isaku  Nagai","","","","Study on Mobile Mechanism of a Climbing Robot for Stair Cleaning: A Translational Locomotion Mechanism and Turning Motion","400--404","","5","Cleaning robot, Climbing robot, Stair","10.1007/s10015-012-0071-z","Artif. Life Robot.","February  2013","17","3-4","","February","2013","1433-5298","","","","","","Springer-Verlag New York, Inc.","Secaucus, NJ, USA"
"article","3040874","Fabio  Ramos and Lionel  Ott","","","","Hilbert Maps","1717--1730","","14","Cognitive robotics, learning and adaptive systems, mapping, mobile and distributed robotics SLAM, range sensing, sensing and perception computer vision","10.1177/0278364916684382","Int. J. Rob. Res.","12 2016","35","14","","December","2016","0278-3649","","","","","","Sage Publications, Inc.","Thousand Oaks, CA, USA"
"article","2157829","Takaya  Ohyama and Yasutomo  Maeda and Chiaki  Mori and Yoshinori  Kobayashi and Yoshinori  Kuno and Rio  Fujita and Keiichi  Yamazaki and Shun  Miyazawa and Akiko  Yamazaki and Keiko  Ikeda","","","","Implementing Human Questioning Strategies into Quizzing-robot","423--424","","2","computer vision, human-robot interaction, interaction analysis","10.1145/2157689.2157829","","","","","","","2012","","Proceedings of the Seventh Annual ACM/IEEE International Conference on Human-Robot Interaction","HRI '12","","978-1-4503-1063-5","Boston, Massachusetts, USA","ACM","New York, NY, USA"
"article","1346846","Robert  Fitch and Zack  Butler","","","","Million Module March: Scalable Locomotion for Large Self-Reconfiguring Robots","331--343","","13","cellular and modular robots, distributed robot systems, learning and adaptive systems","10.1177/0278364907085097","Int. J. Rob. Res.","March     2008","27","3-4","","March","2008","0278-3649","","","","","","Sage Publications, Inc.","Thousand Oaks, CA, USA"
"article","1411302","Tristan O.R. Allwood and Susan  Eisenbach","","","","Clase: Cursor Library for a Structured Editor","123--124","","2","cursor, traversal, zipper","10.1145/1543134.1411302","SIGPLAN Not.","February 2009","44","2","","September","2008","0362-1340","","","","","","ACM","New York, NY, USA"
"article","1411302","Tristan O.R. Allwood and Susan  Eisenbach","","","","Clase: Cursor Library for a Structured Editor","123--124","","2","cursor, traversal, zipper","10.1145/1411286.1411302","","","","","","","2008","","Proceedings of the First ACM SIGPLAN Symposium on Haskell","Haskell '08","","978-1-60558-064-7","Victoria, BC, Canada","ACM","New York, NY, USA"
